ranking,comment_time,usefule_num
4,2016/12/2,5
3,2016/12/13,3
5,2016/12/3,6
3,2016/11/17,5
2,2016/12/19,2
4,2016/12/19,3
2,2016/12/4,2
4,2016/12/3,3
5,2016/12/10,4
4,2016/12/4,3
5,2016/10/20,3
5,2016/12/5,2
4,2016/11/14,1
3,2016/12/29,3
4,2016/12/4,2
5,2016/12/3,2
4,2017/1/13,0
2,2016/11/6,5
3,2016/12/3,4
,2016/12/5,1
4,2016/12/4,7
3,2016/11/23,8
5,2016/12/3,3
3,2016/12/4,2
5,2016/10/24,3
4,2016/12/4,2
3,2017/8/6,1
5,2017/8/21,0
4,2016/12/2,2
5,2016/12/2,1
5,2016/12/26,2
3,2016/12/3,2
5,2016/12/4,1
3,2016/12/4,3
4,2016/12/2,2
2,2016/12/6,4
3,2016/11/28,12
4,2016/12/8,2
5,2016/12/13,1
3,2016/12/12,2
3,2017/4/27,0
5,2016/12/4,3
3,2016/12/6,5
5,2016/9/18,3
4,2016/11/9,4
4,2016/12/9,0
5,2016/12/8,2
3,2016/12/8,1
5,2016/12/9,1
5,2016/12/3,5
4,2016/12/3,1
5,2016/12/2,1
5,2016/12/7,4
5,2016/9/24,4
5,2016/12/9,1
4,2016/12/3,1
4,2016/12/3,5
5,2016/9/26,3
5,2016/9/20,5
2,2016/12/4,1
5,2016/12/3,3
3,2016/12/2,8
4,2016/11/4,1
2,2016/12/4,10
3,2017/2/2,0
4,2016/12/2,2
5,2016/12/2,3
4,2016/12/9,1
3,2016/12/27,3
5,2016/12/4,3
5,2016/10/4,1
3,2016/12/9,4
4,2016/9/27,1
4,2017/1/9,1
5,2017/1/16,1
4,2016/12/7,0
5,2016/9/15,2
5,2016/12/4,1
4,2016/11/3,0
4,2016/9/18,1
5,2016/12/2,7
4,2016/12/3,5
4,2016/12/12,1
4,2016/10/29,1
5,2016/12/3,5
4,2016/10/9,2
3,2017/7/28,0
5,2016/11/30,3
3,2016/12/5,6
4,2016/12/4,1
4,2016/12/3,1
4,2016/12/4,1
3,2016/12/12,0
4,2016/12/3,1
,2016/12/17,1
4,2016/12/4,0
2,2016/12/7,1
4,2017/2/22,0
5,2017/7/27,0
4,2016/10/7,1
2,2016/12/8,2
3,2016/12/4,1
